word,label
Give,S-VP
me,S-NP
all,B-NP
cosmonauts,E-NP
.,O
,
In,S-PP
which,S-NP
country,S-NP
does,S-VP
the,B-NP
Ganges,E-NP
start,S-VP
?,O
,
When,S-ADVP
is,S-VP
the,B-NP
movie,I-NP
Worst,I-NP
Case,I-NP
Scenario,E-NP
going,B-VP
to,I-VP
be,E-VP
in,S-PP
cinemas,S-NP
in,S-PP
the,B-NP
Netherlands,E-NP
?,O
,
Which,B-NP
German,I-NP
cities,E-NP
have,S-VP
more,B-NP
than,I-NP
250000,I-NP
inhabitants,E-NP
?,O
,
Who,S-NP
was,S-VP
John,B-NP
F.,I-NP
Kennedy,E-NP
's,B-NP
vice,I-NP
president,E-NP
?,O
,
Who,S-NP
is,S-VP
the,B-NP
mayor,E-NP
of,S-PP
Tel,B-NP
Aviv,E-NP
?,O
,
How,B-NP
many,I-NP
students,E-NP
does,S-VP
the,B-NP
Free,I-NP
University,E-NP
in,S-PP
Amsterdam,S-NP
have,S-VP
?,O
,
What,S-NP
is,S-VP
the,B-NP
second,I-NP
highest,I-NP
mountain,E-NP
on,S-PP
Earth,S-NP
?,O
,
Give,S-VP
me,S-NP
all,B-NP
professional,I-NP
skateboarders,E-NP
from,S-PP
Sweden,S-NP
.,O
,
When,S-ADVP
was,S-VP
Alberta,S-NP
admitted,S-VP
as,S-PP
province,S-NP
?,O
,
To,S-PP
which,S-NP
countries,S-NP
does,S-VP
the,B-NP
Himalayan,I-NP
mountain,I-NP
system,E-NP
extend,S-VP
?,O
,
Give,S-VP
me,S-NP
a,B-NP
list,E-NP
of,S-PP
all,B-NP
bandleaders,E-NP
that,S-NP
play,S-VP
trumpet,S-NP
.,O
,
Which,B-NP
countries,E-NP
have,S-VP
more,B-NP
than,I-NP
ten,I-NP
caves,E-NP
?,O
,
What,S-NP
is,S-VP
the,B-NP
total,I-NP
amount,E-NP
of,S-PP
men,B-NP
and,I-NP
women,E-NP
serving,S-VP
in,S-PP
the,B-NP
FDNY,E-NP
?,O
,
Who,S-NP
produces,S-VP
Orangina,S-NP
?,O
,
Who,S-NP
is,S-VP
the,B-NP
Formula,I-NP
1,I-NP
race,I-NP
driver,E-NP
with,S-PP
the,B-NP
most,I-NP
races,E-NP
?,O
,
Give,S-VP
me,S-NP
all,B-NP
world,I-NP
heritage,I-NP
sites,E-NP
designated,S-VP
within,S-PP
the,B-NP
past,I-NP
two,I-NP
years.,E-NP
,
Who,S-NP
is,S-VP
the,B-NP
youngest,I-NP
player,E-NP
in,S-PP
the,B-NP
Premier,I-NP
League,E-NP
?,O
,
Give,S-VP
me,S-NP
all,B-NP
members,E-NP
of,S-PP
Prodigy,S-NP
.,O
,
What,S-NP
is,S-VP
the,B-NP
longest,I-NP
river,E-NP
?,O
,
Does,O
Breaking,B-NP
Bad,E-NP
have,S-VP
more,B-NP
episodes,E-NP
than,S-PP
Game,S-NP
of,S-PP
Thrones,S-NP
?,O
,
Give,S-VP
me,S-NP
all,B-NP
cars,E-NP
that,S-NP
are,B-VP
produced,E-VP
in,S-PP
Germany,S-NP
.,O
,
What,S-NP
were,S-VP
the,B-NP
main,I-NP
discoveries,E-NP
of,S-PP
the,B-NP
Mars,I-NP
rover,I-NP
Curiosity,E-NP
?,O
,
Give,S-VP
me,S-NP
all,B-NP
people,E-NP
that,S-NP
were,B-VP
born,E-VP
in,S-PP
Vienna,S-NP
and,O
died,S-VP
in,S-PP
Berlin,S-NP
.,O
,
Is,B-VP
proinsulin,E-VP
a,B-NP
protein,E-NP
?,O
,
How,B-ADJP
tall,E-ADJP
is,S-VP
Michael,B-NP
Jordan,E-NP
?,O
,
What,S-NP
is,S-VP
the,B-NP
capital,E-NP
of,S-PP
Canada,S-NP
?,O
,
Who,S-NP
is,S-VP
the,B-NP
governor,E-NP
of,S-PP
Wyoming,S-NP
?,O
,
Do,O
Prince,B-NP
Harry,E-NP
and,O
Prince,B-NP
William,E-NP
have,S-VP
the,B-NP
same,I-NP
parents,E-NP
?,O
,
Who,S-NP
was,S-VP
the,B-NP
father,E-NP
of,S-PP
Queen,B-NP
Elizabeth,I-NP
II,E-NP
?,O
,
Which,S-NP
U.S.,B-NP
state,E-NP
has,B-VP
been,I-VP
admitted,E-VP
latest,S-ADVP
?,O
,
How,B-NP
many,I-NP
languages,E-NP
are,B-VP
spoken,E-VP
in,S-PP
Turkmenistan,S-NP
?,O
,
Butch,B-NP
Otter,E-NP
is,S-VP
the,B-NP
governor,E-NP
of,S-PP
which,S-NP
U.S.,B-NP
state,E-NP
?,O
,
Give,S-VP
me,S-NP
all,B-NP
movies,E-NP
directed,S-VP
by,S-PP
Francis,B-NP
Ford,I-NP
Coppola,E-NP
.,O
,
Give,S-VP
me,S-NP
all,B-NP
actors,E-NP
starring,S-VP
in,S-PP
movies,S-NP
directed,S-VP
by,S-PP
William,B-NP
Shatner,E-NP
.,O
,
Are,S-VP
tree,B-NP
frogs,E-NP
a,B-NP
type,E-NP
of,S-PP
amphibian,S-NP
?,O
,
What,S-NP
is,S-VP
the,B-NP
birth,I-NP
name,E-NP
of,S-PP
Angela,B-NP
Merkel,E-NP
?,O
,
Give,S-VP
me,S-NP
all,B-NP
Methodist,I-NP
politicians,E-NP
.,O
,
How,S-ADVP
often,S-ADVP
did,S-VP
Jane,B-NP
Fonda,E-NP
marry,S-VP
?,O
,
Give,S-VP
me,S-NP
all,B-NP
Australian,I-NP
nonprofit,I-NP
organizations,E-NP
.,O
,
In,S-PP
which,S-NP
military,B-NP
conflicts,E-NP
did,S-VP
Lawrence,S-NP
of,S-PP
Arabia,S-NP
participate,S-VP
?,O
,
Who,S-NP
developed,S-VP
Minecraft,S-NP
?,O
,
What,S-NP
is,S-VP
the,B-NP
melting,I-NP
point,E-NP
of,S-PP
copper,S-NP
?,O
,
Give,S-VP
me,S-NP
all,B-NP
sister,I-NP
cities,E-NP
of,S-PP
Brno,S-NP
.,O
,
How,B-NP
many,I-NP
inhabitants,E-NP
does,O
Maribor,S-NP
have,S-VP
?,O
,
Give,S-VP
me,S-NP
all,B-NP
companies,E-NP
in,S-PP
Munich,S-NP
.,O
,
How,B-ADJP
tall,E-ADJP
is,S-VP
Amazon,B-NP
Eve,E-NP
?,O
,
List,B-NP
all,I-NP
games,E-NP
by,S-PP
GMT,S-NP
.,O
,
Who,S-NP
founded,S-VP
Intel,S-NP
?,O
,
Who,S-NP
is,S-VP
the,B-NP
husband,E-NP
of,S-PP
Amanda,B-NP
Palmer,E-NP
?,O
,
Give,S-VP
me,S-NP
all,B-NP
breeds,E-NP
of,S-PP
the,B-NP
German,I-NP
Shepherd,I-NP
dog,E-NP
.,O
,
Which,B-NP
cities,E-NP
does,S-VP
the,B-NP
Weser,I-NP
flow,E-NP
through,S-PP
?,O
,
Which,B-NP
countries,E-NP
are,B-VP
connected,E-VP
by,S-PP
the,B-NP
Rhine,E-NP
?,O
,
Which,B-NP
professional,I-NP
surfers,E-NP
were,B-VP
born,E-VP
in,S-PP
Australia,S-NP
?,O
,
What,S-NP
is,S-VP
the,B-NP
average,I-NP
temperature,E-NP
on,S-PP
Hawaii,S-NP
?,O
,
In,S-PP
which,S-NP
UK,B-NP
city,E-NP
are,S-VP
the,B-NP
headquarters,E-NP
of,S-PP
the,B-NP
MI6,E-NP
?,O
,
Which,B-NP
weapons,E-NP
did,S-VP
Heckler,B-NP
&,I-NP
Koch,E-NP
develop,S-VP
?,O
,
Who,S-NP
created,S-VP
Goofy,S-NP
?,O
,
Was,S-VP
the,B-NP
Cuban,I-NP
Missile,I-NP
Crisis,E-NP
earlier,S-ADVP
than,S-PP
the,B-NP
Bay,E-NP
of,S-PP
Pigs,B-NP
Invasion,E-NP
?,O
,
Give,S-VP
me,S-NP
all,B-NP
islands,E-NP
that,S-NP
belong,S-VP
to,S-PP
Japan,S-NP
.,O
,
Who,S-NP
invented,S-VP
the,B-NP
zipper,E-NP
?,O
,
What,S-NP
is,S-VP
the,B-NP
ruling,I-NP
party,E-NP
in,S-PP
Lisbon,S-NP
?,O
,
What,S-NP
are,S-VP
the,B-NP
nicknames,E-NP
of,S-PP
San,B-NP
Francisco,E-NP
?,O
,
Which,S-NP
Greek,B-NP
goddesses,E-NP
dwelt,S-VP
on,S-PP
Mount,B-NP
Olympus,E-NP
?,O
,
When,S-ADVP
were,S-VP
the,B-NP
Hells,I-NP
Angels,E-NP
founded,S-VP
?,O
,
Give,S-VP
me,S-NP
all,B-NP
Apollo,I-NP
14,I-NP
astronauts,E-NP
.,O
,
What,S-NP
is,S-VP
the,B-NP
time,I-NP
zone,E-NP
of,S-PP
Salt,B-NP
Lake,I-NP
City,E-NP
?,O
,
Which,S-NP
U.S.,B-NP
states,E-NP
are,S-VP
in,S-PP
the,B-NP
same,I-NP
time,I-NP
zone,E-NP
as,S-PP
Utah,S-NP
?,O
,
Give,S-VP
me,S-NP
the,B-NP
capitals,E-NP
of,S-PP
all,B-NP
countries,E-NP
in,S-PP
Africa,S-NP
.,O
,
Give,S-VP
me,S-NP
a,B-NP
list,E-NP
of,S-PP
all,B-NP
lakes,E-NP
in,S-PP
Denmark,S-NP
.,O
,
How,S-ADVP
many,B-NP
missions,E-NP
does,S-VP
the,B-NP
Soyuz,I-NP
programme,E-NP
have,S-VP
?,O
,
Did,O
Socrates,B-NP
influence,E-NP
Aristotle,S-NP
?,O
,
Give,S-VP
me,S-NP
all,B-NP
Danish,I-NP
movies,E-NP
.,O
,
Give,S-VP
me,S-NP
all,B-NP
launch,I-NP
pads,E-NP
operated,S-VP
by,S-PP
NASA,S-NP
.,O
,
Which,B-NP
instruments,E-NP
does,S-VP
Cat,B-NP
Stevens,I-NP
play,E-NP
?,O
,
Which,B-NP
ships,E-NP
were,B-VP
called,E-VP
after,S-PP
Benjamin,B-NP
Franklin,E-NP
?,O
,
Who,S-NP
are,S-VP
the,B-NP
parents,E-NP
of,S-PP
the,B-NP
wife,E-NP
of,S-PP
Juan,B-NP
Carlos,E-NP
I,S-NP
?,O
,
How,B-NP
many,I-NP
employees,E-NP
does,S-VP
Google,S-NP
have,S-VP
?,O
,
Did,O
Tesla,S-NP
win,S-VP
a,B-NP
nobel,I-NP
prize,E-NP
in,S-PP
physics,S-NP
?,O
,
Give,S-VP
me,S-NP
all,B-NP
cities,E-NP
in,S-PP
New,B-NP
Jersey,E-NP
with,S-PP
more,B-NP
than,I-NP
100000,I-NP
inhabitants,E-NP
.,O
,
Is,S-VP
Rita,B-NP
Wilson,E-NP
the,B-NP
wife,E-NP
of,S-PP
Tom,B-NP
Hanks,E-NP
?,O
,
When,S-ADVP
was,S-VP
the,B-NP
Statue,E-NP
of,S-PP
Liberty,S-NP
built,S-VP
?,O
,
Where,S-ADVP
is,S-VP
Fort,B-NP
Knox,E-NP
located,S-VP
?,O
,
How,B-NP
many,I-NP
children,E-NP
did,S-VP
Benjamin,B-NP
Franklin,E-NP
have,S-VP
?,O
,
When,S-ADVP
did,O
Michael,B-NP
Jackson,E-NP
die,S-VP
?,O
,
Which,S-NP
Chess,B-NP
players,E-NP
died,S-VP
in,S-PP
the,B-NP
same,I-NP
place,E-NP
they,S-NP
were,B-VP
born,E-VP
in,S-PP
?,O
,
List,O
the,B-NP
children,E-NP
of,S-PP
Margaret,B-NP
Thatcher,E-NP
.,O
,
Who,S-NP
was,B-VP
called,E-VP
Frank,S-NP
The,B-NP
Tank,E-NP
?,O
,
Was,S-VP
Margaret,B-NP
Thatcher,E-NP
a,B-NP
chemist,E-NP
?,O
,
Was,S-VP
Marc,B-NP
Chagall,E-NP
a,B-NP
jew,E-NP
?,O
,
Which,B-NP
museum,E-NP
exhibits,S-VP
The,B-NP
Scream,E-NP
by,S-PP
Munch,S-NP
?,O
,
Give,S-VP
me,S-NP
all,B-NP
books,E-NP
by,S-PP
William,B-NP
Goldman,E-NP
with,S-PP
more,B-NP
than,I-NP
300,I-NP
pages,E-NP
.,O
,
Which,B-NP
books,E-NP
by,S-PP
Kerouac,S-NP
were,B-VP
published,E-VP
by,S-PP
Viking,B-NP
Press,E-NP
?,O
,
Give,S-VP
me,S-NP
a,B-NP
list,E-NP
of,S-PP
all,B-NP
American,I-NP
inventions,E-NP
.,O
,
How,B-ADJP
high,E-ADJP
is,S-VP
the,B-NP
Mount,I-NP
Everest,E-NP
?,O
,
Who,S-NP
created,S-VP
Batman,S-NP
?,O
,
How,B-NP
many,I-NP
people,E-NP
live,S-VP
in,S-PP
the,B-NP
capital,E-NP
of,S-PP
Australia,S-NP
?,O
,
What,S-NP
is,S-VP
the,B-NP
largest,I-NP
city,E-NP
in,S-PP
Australia,S-NP
?,O
,
Who,S-NP
composed,S-VP
the,B-NP
music,E-NP
for,S-PP
Harold,S-NP
and,O
Maude,S-NP
?,O
,
Which,B-NP
films,E-NP
starring,S-VP
Clint,B-NP
Eastwood,E-NP
did,S-VP
he,S-NP
direct,S-VP
himself,S-NP
?,O
,
In,S-PP
which,S-NP
city,S-NP
was,S-VP
the,B-NP
former,I-NP
Dutch,I-NP
queen,I-NP
Juliana,E-NP
buried,S-VP
?,O
,
Is,S-VP
Egypts,B-NP
largest,I-NP
city,E-NP
also,S-ADVP
its,B-NP
capital,E-NP
?,O
,
Where,S-ADVP
is,S-VP
the,B-NP
residence,E-NP
of,S-PP
the,B-NP
prime,I-NP
minister,E-NP
of,S-PP
Spain,S-NP
?,O
,
Which,S-NP
U.S.,B-NP
state,E-NP
has,S-VP
the,B-NP
abbreviation,I-NP
MN,E-NP
?,O
,
Show,S-VP
me,S-NP
all,B-NP
songs,E-NP
from,S-PP
Bruce,B-NP
Springsteen,E-NP
released,S-VP
between,S-PP
1980,B-NP
and,I-NP
1990.,E-NP
,
Which,S-NP
movies,S-NP
did,S-VP
Kurosawa,S-NP
direct,S-ADJP
?,O
,
What,S-NP
is,S-VP
the,B-NP
founding,I-NP
year,E-NP
of,S-PP
the,B-NP
brewery,E-NP
that,S-NP
produces,S-VP
Pilsner,B-NP
Urquell,E-NP
?,O
,
Who,S-NP
wrote,S-VP
the,B-NP
lyrics,E-NP
for,S-PP
the,B-NP
Polish,I-NP
national,I-NP
anthem,E-NP
?,O
,
Give,S-VP
me,S-NP
all,B-NP
B-,I-NP
sides,E-NP
of,S-PP
the,B-NP
Ramones,E-NP
.,O
,
Who,S-NP
painted,S-VP
The,B-NP
Storm,E-NP
on,S-PP
the,B-NP
Sea,E-NP
of,S-PP
Galilee,S-NP
?,O
,
Which,B-NP
country,E-NP
does,S-VP
the,B-NP
creator,E-NP
of,S-PP
Miffy,S-NP
come,S-VP
from,S-PP
?,O
,
For,S-PP
which,S-NP
label,S-NP
did,O
Elvis,B-NP
record,E-NP
his,B-NP
first,I-NP
album,E-NP
?,O
,
Give,S-VP
me,S-NP
the,B-NP
birthdays,E-NP
of,S-PP
all,B-NP
actors,E-NP
of,S-PP
the,B-NP
television,I-NP
show,E-NP
Charmed,S-VP
.,O
,
How,B-NP
many,I-NP
employees,E-NP
does,S-VP
IBM,S-NP
have,S-VP
?,O
,
Which,S-NP
states,S-VP
border,B-NP
Illinois,E-NP
?,O
,
In,S-PP
which,S-NP
country,S-NP
is,S-VP
the,B-NP
Limerick,I-NP
Lake,E-NP
?,O
,
Which,B-NP
television,I-NP
shows,E-NP
were,B-VP
created,E-VP
by,S-PP
John,B-NP
Cleese,E-NP
?,O
,
Which,B-NP
mountain,E-NP
is,S-VP
the,B-NP
highest,E-NP
after,S-PP
the,B-NP
Annapurna,E-NP
?,O
,
In,S-PP
which,B-NP
films,E-NP
directed,S-VP
by,S-PP
Garry,B-NP
Marshall,E-NP
was,S-VP
Julia,B-NP
Roberts,E-NP
starring,S-VP
?,O
,
Which,B-NP
bridges,E-NP
are,S-VP
of,S-PP
the,B-NP
same,I-NP
type,E-NP
as,S-PP
the,B-NP
Manhattan,I-NP
Bridge,E-NP
?,O
,
Was,S-VP
U.S.,B-NP
president,I-NP
Jackson,E-NP
involved,S-VP
in,S-PP
a,B-NP
war,E-NP
?,O
,
Give,S-VP
me,S-NP
all,B-NP
communist,I-NP
countries.,E-NP
,
Which,S-NP
awards,S-NP
did,S-VP
Douglas,B-NP
Hofstadter,E-NP
win,S-VP
?,O
,
Who,S-NP
is,S-VP
the,B-NP
daughter,E-NP
of,S-PP
Robert,B-NP
Kennedy,E-NP
married,S-VP
to,S-PP
?,O
,
Which,S-NP
U.S.,B-NP
state,E-NP
has,S-VP
the,B-NP
highest,I-NP
population,I-NP
density,E-NP
?,O
,
What,S-NP
is,S-VP
the,B-NP
currency,E-NP
of,S-PP
the,B-NP
Czech,I-NP
Republic,E-NP
?,O
,
Which,B-NP
countries,E-NP
adopted,S-VP
the,B-NP
Euro,E-NP
?,O
,
What,S-NP
is,S-VP
the,B-NP
area,I-NP
code,E-NP
of,S-PP
Berlin,S-NP
?,O
,
Which,B-NP
countries,E-NP
have,S-VP
more,B-NP
than,I-NP
two,I-NP
official,I-NP
languages,E-NP
?,O
,
Who,S-NP
is,S-VP
the,B-NP
owner,E-NP
of,S-PP
Rolls-Royce,S-NP
?,O
,
Through,S-PP
which,S-NP
countries,S-NP
does,S-VP
the,B-NP
Yenisei,I-NP
river,I-NP
flow,E-NP
?,O
,
When,S-ADVP
did,O
Latvia,S-NP
join,S-VP
the,B-NP
EU,E-NP
?,O
,
Which,B-NP
politicians,E-NP
were,B-VP
married,E-VP
to,S-PP
a,B-NP
German,E-NP
?,O
,
When,S-ADVP
was,S-VP
the,B-NP
Battle,E-NP
of,S-PP
Gettysburg,S-NP
?,O
,
Which,B-NP
river,E-NP
does,S-VP
the,B-NP
Brooklyn,I-NP
Bridge,I-NP
cross,E-NP
?,O
,
What,S-NP
is,S-VP
the,B-NP
highest,I-NP
mountain,E-NP
in,S-PP
Australia,S-NP
?,O
,
Give,S-VP
me,S-NP
all,B-NP
soccer,I-NP
clubs,E-NP
in,S-PP
Spain,S-NP
.,O
,
What,S-NP
is,S-VP
the,B-NP
official,I-NP
language,E-NP
of,S-PP
Suriname,S-NP
?,O
,
Who,S-NP
is,S-VP
the,B-NP
mayor,E-NP
of,S-PP
Tel,B-NP
Aviv,E-NP
?,O
,
Who,S-NP
designed,S-VP
the,B-NP
Brooklyn,I-NP
Bridge,E-NP
?,O
,
Which,B-NP
telecommunications,I-NP
organizations,E-NP
are,B-VP
located,E-VP
in,S-PP
Belgium,S-NP
?,O
,
Is,S-VP
Frank,B-NP
Herbert,E-NP
still,S-ADVP
alive,S-ADJP
?,O
,
What,S-NP
is,S-VP
the,B-NP
highest,I-NP
place,E-NP
of,S-PP
the,B-NP
Urals,E-NP
?,O
,
Who,S-NP
is,S-VP
the,B-NP
editor,E-NP
of,S-PP
Forbes,S-NP
?,O
,
Give,S-VP
me,S-NP
all,B-NP
companies,E-NP
in,S-PP
the,B-NP
advertising,I-NP
industry,E-NP
.,O
,
How,B-NP
many,I-NP
countries,E-NP
are,S-VP
there,S-ADVP
in,S-PP
Europe,S-NP
?,O
,
What,S-NP
did,S-VP
Bruce,B-NP
Carver,E-NP
die,S-VP
from,S-PP
?,O
,
Give,S-VP
me,S-NP
all,B-NP
libraries,E-NP
established,S-VP
earlier,S-ADVP
than,S-SBAR
1400.,O
,
Which,S-NP
presidents,S-NP
were,B-VP
born,E-VP
in,S-PP
1945,S-NP
?,O
,
Give,S-VP
me,S-NP
all,B-NP
federal,I-NP
chancellors,E-NP
of,S-PP
Germany,S-NP
.,O
,
Who,S-NP
was,S-VP
the,B-NP
wife,E-NP
of,S-PP
U.S.,B-NP
president,I-NP
Lincoln,E-NP
?,O
,
Who,S-NP
developed,S-VP
the,B-NP
video,I-NP
game,I-NP
World,E-NP
of,S-PP
Warcraft,S-NP
?,O
,
What,S-NP
is,S-VP
the,B-NP
official,I-NP
website,E-NP
of,S-PP
Tom,B-NP
Cruise,E-NP
?,O
,
List,B-NP
all,I-NP
episodes,E-NP
of,S-PP
the,B-NP
first,I-NP
season,E-NP
of,S-PP
the,B-NP
HBO,I-NP
television,I-NP
series,E-NP
The,B-NP
Sopranos,E-NP
.,O
,
Who,S-NP
produced,S-VP
the,B-NP
most,I-NP
films,E-NP
?,O
,
Give,S-VP
me,S-NP
all,B-NP
people,E-NP
with,S-PP
first,B-NP
name,I-NP
Jimmy,E-NP
.,O
,
In,S-PP
which,S-NP
city,S-NP
did,S-VP
John,B-NP
F.,I-NP
Kennedy,E-NP
die,S-VP
?,O
,
Is,S-VP
there,S-ADVP
a,B-NP
video,I-NP
game,E-NP
called,S-VP
Battle,B-NP
Chess,E-NP
?,O
,
Which,B-NP
mountains,E-NP
are,S-VP
higher,S-ADJP
than,S-PP
the,B-NP
Nanga,I-NP
Parbat,E-NP
?,O
,
Who,S-NP
created,S-VP
Wikipedia,S-NP
?,O
,
Give,S-VP
me,S-NP
all,B-NP
actors,E-NP
starring,S-VP
in,S-PP
Last,B-NP
Action,I-NP
Hero,E-NP
.,O
,
Which,B-NP
software,E-NP
has,B-VP
been,I-VP
developed,E-VP
by,S-PP
organizations,S-NP
founded,S-VP
in,S-PP
California,S-NP
?,O
,
Which,B-NP
companies,E-NP
work,S-VP
in,S-PP
the,B-NP
aerospace,I-NP
industry,E-NP
as,B-CONJP
well,I-CONJP
as,E-CONJP
in,S-PP
medicine,S-NP
?,O
,
Is,S-VP
Christian,B-NP
Bale,E-NP
starring,S-VP
in,S-PP
Velvet,B-NP
Goldmine,E-NP
?,O
,
Give,S-VP
me,S-NP
the,B-NP
websites,E-NP
of,S-PP
companies,S-NP
with,S-PP
more,B-NP
than,I-NP
500000,I-NP
employees,E-NP
.,O
,
Which,B-NP
actors,E-NP
were,B-VP
born,E-VP
in,S-PP
Germany,S-NP
?,O
,
Which,B-NP
caves,E-NP
have,S-VP
more,B-NP
than,I-NP
3,I-NP
entrances,E-NP
?,O
,
Was,S-VP
the,B-NP
wife,E-NP
of,S-PP
president,B-NP
Lincoln,E-NP
called,S-VP
Mary,S-NP
?,O
,
Give,S-VP
me,S-NP
all,B-NP
films,E-NP
produced,S-VP
by,S-PP
Hal,B-NP
Roach,E-NP
.,O
,
Give,S-VP
me,S-NP
all,B-NP
video,I-NP
games,E-NP
published,S-VP
by,S-PP
Mean,B-NP
Hamster,I-NP
Software,E-NP
.,O
,
Which,B-NP
languages,E-NP
are,B-VP
spoken,E-VP
in,S-PP
Estonia,S-NP
?,O
,
How,B-NP
many,I-NP
Aldi,I-NP
stores,E-NP
are,S-VP
there,S-ADVP
?,O
,
Which,B-NP
capitals,E-NP
in,S-PP
Europe,S-NP
were,S-VP
host,B-NP
cities,E-NP
of,S-PP
the,B-NP
summer,I-NP
olympic,I-NP
games,E-NP
?,O
,
